Datum,Začátek,Konec,Doba trvání,rel. Doba trvání,Projekt,Popis
1. července 2014,7:30,8:15,0.75,0.75,Pragodata,Co dál
1. července 2014,8:16,16:27,8.18,7.53,VŠB,Synchro skript; dokument akreditace a certifikace
2. července 2014,7:44,14:30,6.77,6.77,VŠB,Úpravy dle poslední verze
2. července 2014,14:30,15:05,0.58,0.58,Real Progress Brno,Duplicity
2. července 2014,15:06,15:56,0.83,0.83,VŠB,Úpravy dle nového zadání
3. července 2014,8:00,16:03,8.05,8.05,VŠB,Rozšíření web sluzeb
4. července 2014,8:33,9:16,0.72,0.72,VŠB,Event při změně kurzu
4. července 2014,9:18,11:31,2.22,2.22,Moje ID,Úpravy kvůli zveřejnění
4. července 2014,11:32,13:15,1.72,0.82,VŠB,Web služby
4. července 2014,13:15,15:23,2.13,2.13,Moje ID,Úprava rozšíření pro moodle.org
4. července 2014,15:24,16:45,1.35,1.35,VŠB,Web sluzby
4. července 2014,16:45,17:17,0.53,0.53,Moje ID,Překlady
7. července 2014,7:05,7:44,0.65,0.65,VŠB,Web služby
7. července 2014,7:44,9:45,2.02,2.02,Moje ID,Aglucka mutace
7. července 2014,9:46,11:39,1.88,1.55,CAVS,Zadání
7. července 2014,11:40,15:25,3.75,3.75,VŠB,"Web služby, porovnání snapshotu"
8. července 2014,6:48,9:09,2.35,2.35,CAVS,Jednání
8. července 2014,9:09,11:08,1.98,1.98,VŠB,Web služby - novy dokument
8. července 2014,11:09,12:11,1.03,1.03,tazak.cz,Hledání feedu pro heureka.cz
8. července 2014,12:12,15:22,3.17,2.83,VŠB,Web služby; semester overview
9. července 2014,6:52,15:43,8.85,8.32,VŠB,Synchro skript
10. července 2014,7:20,13:41,6.35,6.15,VŠB,"Synchro skript, Edison konektor"
10. července 2014,13:42,14:43,1.02,1.02,Real Progress Brno,Test chyby 500
10. července 2014,14:43,15:44,1.02,1.02,VŠB,Semester overview řazení
11. července 2014,7:38,15:57,8.32,7.98,VŠB,Synchronní skript; PDF poznámka; cas login
14. července 2014,6:45,15:38,8.88,8.28,VŠB,"Synchro skript, test překlopení"
15. července 2014,6:42,15:57,9.25,8.97,VŠB,Opravy chyb
16. července 2014,6:45,15:18,8.55,8.3,VŠB,"Nova ostrá verze, naliti dat"
17. července 2014,7:00,9:03,2.05,2.05,VŠB,spuštění na ostrém serveru
17. července 2014,9:04,12:32,3.47,2.98,PMC,User payment
17. července 2014,12:33,12:42,0.15,0.15,VŠB,Spuštění sync. Skriptu
17. července 2014,12:42,15:40,2.97,2.97,PMC,User payment
17. července 2014,16:00,17:00,1.0,1.0,VŠB,Synchro skript
18. července 2014,7:05,14:06,7.02,5.25,VŠB,Synchro skript
18. července 2014,14:07,17:15,3.13,3.13,PMC,User payment
