Číslo,Datum,Začátek,Konec,Doba trvání,Projekt,Popis,Přestávky,Štítky
29,14. ledna 2014,14:00,15:46,1.77,Stag,Duplikace,0.0,Vývoj
30,15. ledna 2014,7:07,7:59,0.87,Stag,Duplikace find_last_run,0.0,Vývoj
31,16. ledna 2014,15:02,15:34,0.53,Stag,Duplikace kurzů,0.0,Vývoj
32,17. ledna 2014,7:17,9:28,2.18,Stag,Duplikace - ukládání template,0.0,Vývoj
33,17. ledna 2014,14:49,15:41,0.87,Stag,Duplikace kurzu js,0.0,Vývoj
