Datum,Začátek,Konec,Doba trvání,rel. Doba trvání,Projekt,Popis
2. června 2014,7:21,10:19,2.97,2.97,VŠB,Analýza zadání
2. června 2014,10:19,13:40,3.35,2.62,UNIV 3,"Kvalifikace, kompetence"
2. června 2014,13:41,16:12,2.52,2.52,VŠB,Web služby
3. června 2014,7:05,8:10,1.08,1.08,Oriflame,Exporty
3. června 2014,8:10,15:22,7.2,6.85,VŠB,Web služby
4. června 2014,7:37,10:42,3.08,3.08,VŠB,Web služby
4. června 2014,10:42,11:50,1.13,1.13,Moje ID,Chyby na straně mojeid
4. června 2014,12:10,14:17,2.12,2.12,tazak.cz,Odhad
4. června 2014,14:17,14:45,0.47,0.47,VŠB,Web služby
4. června 2014,14:45,16:19,1.57,1.57,tazak.cz,Import a filtry
5. června 2014,7:11,8:30,1.32,1.32,tazak.cz,Hledání dat v db
5. června 2014,8:31,9:00,0.48,0.48,UNIV 3,Login site
5. června 2014,9:00,10:01,1.02,1.02,VŠB,Web služby
5. června 2014,10:01,11:40,1.65,1.65,Moje ID,Opravy
5. června 2014,11:41,12:15,0.57,0.57,VŠB,Web služby
5. června 2014,12:15,13:48,1.55,1.2,Moje ID,"Test, výstupní dokument"
5. června 2014,13:49,15:09,1.33,1.33,VŠB,Web služby
5. června 2014,15:09,16:07,0.97,0.97,Moje ID,Úpravy
6. června 2014,7:07,12:23,5.27,4.88,Moje ID,Úpravy podle připomínek
6. června 2014,12:23,14:22,1.98,1.98,tazak.cz,"Oprava tabulek, synchronizace"
6. června 2014,14:23,15:14,0.85,0.85,VŠB,Web služby
9. června 2014,6:56,8:14,1.3,1.3,Oriflame,Exporty
9. června 2014,8:14,14:20,6.1,5.78,VŠB,Web služby
9. června 2014,14:22,15:30,1.13,1.13,Moje ID,Opravy
10. června 2014,7:21,8:06,0.75,0.75,Real Progress Brno,Aktivace inzerátu
10. června 2014,8:06,12:46,4.67,4.42,VŠB,Web služby
10. června 2014,12:47,13:11,0.4,0.4,Real Progress Brno,Aktivní inzerát
10. června 2014,13:12,15:24,2.2,2.2,tazak.cz,Rozšíření importu a filtrů
10. června 2014,15:25,15:35,0.17,0.17,Real Progress Brno,Zneaktivneni inzerátu
11. června 2014,7:32,10:12,2.67,2.67,Real Progress Brno,(ne)aktivní inzerát
11. června 2014,10:13,11:17,1.07,1.07,Moje ID,Výhody mojeid - url
11. června 2014,11:18,11:50,0.53,0.53,VŠB,Časový odhad úprav
11. června 2014,11:50,14:15,2.42,2.18,Moje ID,Manuál
11. června 2014,14:15,16:21,2.1,2.1,VŠB,Web služby
12. června 2014,7:05,15:10,8.08,7.75,VŠB,Web služby; postgre
12. června 2014,15:11,15:34,0.38,0.38,Moje ID,Manuál
13. června 2014,7:10,7:40,0.5,0.5,Moje ID,Manuál
13. června 2014,7:40,10:20,2.67,2.67,VŠB,"Web služby, postgre"
13. června 2014,10:20,11:15,0.92,0.92,Moje ID,Manuál
13. června 2014,11:15,15:35,4.33,3.95,VŠB,Web služby
16. června 2014,8:47,11:22,2.58,2.58,Moje ID,Opravy
16. června 2014,11:23,17:19,5.93,5.32,VŠB,Web služby; vrácení výsledků
17. června 2014,7:23,11:58,4.58,4.58,VŠB,Webové služby; přenos výsledků
17. června 2014,11:59,15:38,3.65,3.35,Moje ID,Úroveň ověření
18. června 2014,7:42,10:53,3.18,3.18,Oriflame,Chyba v olap výpočtech
18. června 2014,10:54,13:15,2.35,1.95,Moje ID,Oficiální Moodle plugin
18. června 2014,13:15,15:39,2.4,2.4,VŠB,Web služby
19. června 2014,7:35,9:30,1.92,1.92,VŠB,"Web služby - testování, náležitosti"
19. června 2014,9:30,11:30,2.0,2.0,Moje ID,Možnost měnit obrázky
19. června 2014,11:30,15:36,4.1,4.1,VŠB,Web služby - nastavení
20. června 2014,7:40,8:30,0.83,0.83,Moje ID,Úpravy
20. června 2014,8:30,15:53,7.38,6.83,VŠB,web služby
23. června 2014,9:18,17:22,8.07,8.07,VŠB,"Web služby "
24. června 2014,7:15,15:33,8.3,7.98,VŠB,Web sluzby
25. června 2014,7:14,15:35,8.35,8.13,VŠB,Web služby
26. června 2014,7:05,15:30,8.42,7.98,VŠB,Web služby
27. června 2014,7:39,9:56,2.28,2.28,VŠB,Web služby
27. června 2014,9:56,11:38,1.7,1.7,VŠB,"Pomalý dotaz při výpisu my-semester-overview "
27. června 2014,11:40,14:21,2.68,2.45,VŠB,Hledání spouštění dotazu
27. června 2014,14:22,15:48,1.43,1.43,Pragodata,
30. června 2014,7:19,12:09,4.83,4.83,VŠB,"Web služby - kontrola, nahrání na jejich test, mejl se zdrojaky; semester overview"
30. června 2014,12:11,15:35,3.4,2.8,Real Progress Brno,Publikování na s reality oprava
30. června 2014,15:36,16:03,0.45,0.45,Pragodata,"Email o dovolené, email o rpb"
